Project_ID,Project_Name,Scale,Purpose,Location,Country,Continent,Latitude,Longitude,Injection,InjectionSize_Mt,Total_Injection_Mt,Storage_Distance,Estimated_Cost,Production_Capacity,Plant Capacity Comment,Power Plant Size,Capacity,Regulation Status,Primary Company / Alliance,Project Description,Project_Website,Status,Status Comment,Intended_Operational_Year,Operation_Year,End_Operation_Year,Date Comment,Public Funding,Public Funding Comment,Public Engagement,Non_Commercial_Org,CCS Group,Company Comment,Fate,On_Offshore,Storage_Company,Storage_Country,Storage Latitude,Storage Longitude,Storage_Comment,Storage_Monitoring,Product,Source_Company,Construction,Permit,Permit Date,Feedstock,Feedstock Detail,Feedstock Additional,Fuel_Capacity,Separation_Type,Separation_Technology,Separation Comment,Capture_Company,Transpor_Method,Transport_Company,Cluster,Cluster Comment,Trans-boundary,Transport Comment,Date Entered,Entered by,Date Modified,Modified by,Links
1921,Red Trail Energy CCS Project,Demonstration,Industry,"Richardton, North Dakota",United States of America,North America,46.877937,-102.296608,0,1,,,"USD 980,000 for study; USD 29 million for whole project.",,"63 million gallons ethanol per year, roughly 190,000 tpa",,"Fermentation emits 180 ktpa, poss. plus combustion",,Red Trail Energy,"Feasibility study into integrated carbon capture and storage at a bio-ethanol plant. Study will consider commecially available capture plant and storage nearby in Broom Creek Formation at ~2 km depth. Jun'17, North Dakota State takes over authority for approving Class V1 injection wells from EPA and progressing plan. Apr'19, geophysical survey of area around plant and intended injection site completed. (Updated 07/01/20)",http://www.redtrailenergyllc.com/,Speculative,Feasibility study announced,2020,,,,Yes,Half funded from North Dakota Industrial Commision' Renewable Energy Program,,Energy & Environmental Research Centre,Plains CO2 Reduction Partnership,,Saline Formation,Onshore,,United States of America,,,Storage planned in Broom Creek sandstone formation,,Ethanol,Red Trail Energy,Retrofit,,,Other,Corn,,,Other,,,,Unknown,,No,,No,Storage site studied close by,10/13/2016,CCSDBA,1/23/2021,CCSDBA,http://www.nd.gov/ndic/renew/meeting1607/r-28-B-proposal.pdf
1901,Integrated Surat Basin CCS Project,Demonstration,Power,"Millmerran, Queensland",Australia,Australia,-27.960645,151.279317,0,1,,,AUD 230M,,,850,,,CTSCo - Glencore subsidiary,"Project was originally for Feasibility/FEED study for a storage facility in northern Surat Basin including geological and environmental studies, public engagement and permitting. This was successor project to original IGCC-based project at Wandowan, cancelled by 2014 (see separate entry). Project awarded funding from Federal Government CCS RD&D Fund, August 2016. Same round also allocated funding to University of Queensland Surat Deep Aquifer Appraisal Project for geotechnical and techno-economic assesments of area. Some opposition to storage proposals evident during public engagement. Nov'19, potential support from COAL21 fund announced for capture project based at Millmerran power station in southern Surat Basin, 80km SW of Toowoomba (location now marked). FEED studies already complete. FID for AUD 150M capture plant expected in summer 2020. Storage appraisal continuing with focus now swittched to southern Surat Basin. (Updated 19/02/20)",http://ctsco.com.au/,In Design,"Feasibility/FEED Study funded for injection testing, unclear of status for capture options",2023,,,Capture plant FID expected summer 2020,Yes,Australian Gov funding AUD 8.8 M for injection site Feasibility/FEED and AUD 6.1 M for Aquifer Appraisal Project,Programme of public engagement activities underway. Early opposition from landholders.,University of Queensland,,"CTSCo is wholly owned, 'not-for-profit' subsidiary of Glencore",Saline Formation,Onshore,CTSCo,Australia,-26.155133,149.814723,Storage appraisal focussing now on areas close to Millmerran,,Electricity,"China Huaneng Group, InterGen",Retrofit,,,Coal,Lignite,,,Post-combustion,,Not defined,CTSCo,Unknown,CTSCo,Yes,"Possible, several large power stations within potential pipleine range",No,"Likely to be by road tanker in demonstration phase, then pipeline",10/11/2016,CCSDBA,1/23/2021,CCSDBA,"http://www.chinchillanews.com.au/news/landholders-vow-to-fight-carbon-storage-plan/3104799/
Press (Oct 2016): Landholders oppose plan at public engagement meeting.
https://www.gasworld.com/australian-carbon-capture-hub-receives-funding/2018082.article
Press (Nov. 2019): COAL21 fund support announced.
The University of Edinburgh
Website Accessibility
Privacy Notice
The University of Edinburgh is a charitable body, registered in Scotland, with registration number SC005336, VAT Registration Number GB 592 9507 00, and is acknowledged by the UK authorities as a “Recognised body” which has been granted degree awarding powers.
Unless explicitly stated otherwise, all material is copyright © SCCS ."
1881,Yara Porsgrunn Demonstration Project,Demonstration,Industry,"Heroya Industrial Park, Porsgrunn",Norway,Europe,59.125904,9.626171,0,1,,600,,,,,,,Yara International,"Yara has separated and purified CO2 for many years as part of its ammonia production and industrial gas supply opperations. About 200 Ktpa liquefied CO2 currently exported at small scale by ship to rest of Europe. Proposal to increase capture and scale of shipping to provide c. 800 Ktpa CO2 for storage in Smeaheia saline formation off western Norway. Part of Norwegian Government programm to estabilsh a number of CCS demonstrations with transport by ship to North Sea storage. Gassnova Feasibility Study of transport and storage completed July 2016 covering Brevik, Klemetsrud and Porsgrunn projects. Suggested feasible completion date pushed back to 2022. Oct'16, Norwegian Government supports ongoing concept studies with option for FEED studies. Mar 2017 - ESA approve public finance. April 2017 - contract for Concept Studies awarded to Aker. Nov' 2017, Government cuts budget for project studies. May 2018, Government drops support for the Yara project citing uncertainties about the plant's future emissions due to plans for chaninging raw material from LPG to LNG. Difficult to see the logic here as ammonia from any hydrocarbon feed will produce process CO2 emissions. Yara is a partner in the ACT ALIGN Project, which will produce blueprints for decarbonising 6 industrial regions in Europe. (Updated 12/06/18)",,Cancelled/Dormant,CO2 separation and purification already operational; transport and storage in planning. Feasibility study completed July 2016.,2022,,,,Yes,Norwegian Government funding of NOK360M for studies on up to three projects. Mar 2017 - ESA approve public finance.,,,,,Saline Formation,Offshore,Statoil,Norway,,,"Storage planned in Smeaheia saline formation, 1.2-.7 km depth, above Troll field.",,"Ammonia, CO2, other products",Yara,Extension,,,Gas,Assuming methane reforming process.,,,Pre-combustion,Unk,Probably solvent process.,Yara,Pipe and Ship,Gassnova commissioning,Yes,Close to Porsgrunn refinery and also Brevik cement plant,No,Ship to Kollsness then new offshore pipe,8/10/2016,CCSDBA,1/23/2021,CCSDBA,http://www.ccsassociation.org/files/9414/6840/6764/2._20_years_of_successful_CCS_at_Sleipner_-_Olav_Skalmeraas_Statoil.pdf
1864,LEILAC1 pilot plant,Pilot,Industry,"Lixhe, near Vise",Belguim,Europe,50.764691,5.670135,,1,,,EUR 21 milion,,240 tpd raw cement meal and 200 tpd limestone inputs,,Capture capacity of 18ktCO2/yr,,"HeidelbergCement Group, CEMEX, Tarmac, Lhoist, Calix Ltd, ECN (TNO), Imperial College London, PSE, Quantis, The Carbon Trust","Project to build a pilot-scale plant to trial Calix's patented Direct Separation technology. This uses an externally heated calciner allowing pure CO2 to be collected from the calcination stage of cement or lime production. The pilot pant will be built on the Heidelberg Cement site at Lixhe in eastern Belguim. Feb'18, ground-breaking event held as part of European Cement Research Academy (ECRA) conference.Dec'18, construction nearing completion. Mar'19, commissioning underway.Final construction and commissioning through spring 2019 with ribbon-cutting event in May. Initial test runs completed successfully by July with further pilot testing campaigns planned to the end of 2020. The project concluded in 2021 with the pilot plant having successfully captured 100% of 'unavoidable' process emissions by indirectly heating raw materials inside a vertical steel tube.",https://www.project-leilac.eu/,Finished,"Project announced April 2016, construction through 2018 with commissioning to May 2019.",2019,2019,,"Five year project from 2016, expecting 2 years pilot operation. A LEILAC2 Demonstration Plant project began construction in 2020, and is expected to be operational by 2023.",Yes,EUR 12M through EU H2020 funding,,,"Leilac Project, EU H2020 project","HeidelbergCement Group, CEMEX, Tarmac, Lhoist, Calix Ltd, ECN (TNO), Imperial College London, PSE, Quantis, The Carbon Trust",No storage,Onshore,,,,,,,Cement and lime,Heidelberg Cement,New,,,Coal,Coal with potential waste and/or biomass co-fire; the LEILAC2 Demonstration Plant project (expected operational by 2023) will oversee the electrification of the LEILAC 1 Pilot plant,,,Other,Direct separation,"Name misleading, no separation is required as pure CO2 is released on calcination. Indirect heating means no dilution of CO2 by flue gas.",Calix,Unknown,,No,,No,Likely to be capture and release,6/2/2016,CCSDBA,6/29/2023,rsteven2,"http://www.cemnet.com/Articles/story/159683/carbon-capture-breakthrough.html	
Press (July 2016): EU funding won for breakthrough technology demonstration	
http://www.globalcement.com/magazine/articles/1004-trapping-process-co2-emissions-with-the-leilac-project	
Press (Jan 2017): Interview with project staff.	
http://www.globalcement.com/news/item/7097-carbon-capture-and-something	
Press (Feb 2018): Gound-breaking event, construction started.	
https://www.ccusnetwork.eu/knowledge-hub/leilac12-project-information	
CCUS Projects Network Info Sheet: LEILAC1&2 Project Information	
https://www.project-leilac.eu/successful-co2-separation	
Press Release (July 2019): Preliminary test runs successfully completed.	
https://www.globalcement.com/news/item/13130-leilac-1-study-concludes-and-puts-a-price-tag-on-carbon-capture	
Global Cement (Oct '21): LEILAC-1 study concludes – and puts a price tag on carbon capture	"
1842,CO2 Solutions Capture Pilot - Test Site,Pilot,Other,Montreal East,Canada,North America,45.632572,-73.522112,0,1,,,,,"Flue gas taken from a gas boiler, built specially for pilot unit, to simulate once-through steam generator.",,10 t/day,,CO2 Solutions Inc,"Pilot plant to test CO2 Solution's enzyme-enabled carbon capture process at site near Montreal. Plant originally designed to capture 15 t/day CO2 was built for testing in Valleyfield and has since been moved to Parachem site at Montreal East. Testing over 2,500h through winter 2015/16 was succesful, with calculated capture costs at 1250 t/day scale independently verified at 28 USD/t-CO2, claimed to be the lowest demonstrated in the world. CO2 Solutions Inc continues to attract new grants and investment for multiple small scale projects including:- collaboration with Neumann Systems for a pilot plant at Colarado Springs; collaboration with GasTrans Systems to trial rotating packed beds with enzyme-solvent systems; grant from CCEMC to develop technology in Alberta; budget/grant from Quebec State to develop technology at a Quebec pulp mill for supply of CO2 to greenhouses. Jan '15, results announced of testing solvent in two designs of rotating packed bed equipment at EERC, U.o.N.Dakota. Jan '18, pilot plant has been moved to Parachem in Montreal East, capturing emissions from unspecified ""industrial flue gases"" at capacity of 10 t/day. Plant was successfully recommissioned by March and a 10 tonne rotating packed bed has been ordered for trials. Jun '18, the Valorisation Carbonne Quebec CCU project continues to win public funding - new grant of CAD 7.5 M announced. April'19, pulp mill 30 tpd capture facility commissioned succesfully. (Updated 19/02/20)",http://co2solutions.com/en,Pilot,Unit construction complete April'15.,2015,2015,,Pilot tests ran through winter 2015/6,Yes,Part funded by Gov of Canada's ecoENERGY Innovation Innitiative,,,,,No storage,Onshore,,,,,,,Technology development,Parachem,New,,,Gas,,,,Post-combustion,enzyme-enabled carbon capture,,CO2 Solutions Inc,Unknown,,No,,No,No transport or storage - capture and release only,5/4/2016,CCSDBA,1/23/2021,CCSDBA,"https://www.newswire.ca/news-releases/co2-solutions-announces-fiscal-2018-second-quarter-results-675580573.html	Press release (Mar. 2018): 10 t/day test facility now operating at Chimie Parachem in Montreal East	https://finance.yahoo.com/news/co2-solutions-successfully-completes-commissioning-120000115.html	Press release (April 2019): 30 tpd capture plant started up at pulp mill.									"
1821,Fuel Cell Carbon Capture Project,Pilot,Power,"Calgary, Alberta",Canada,North America,51.075274,-114.139049,,1,,,,,No info on fuel cell output,14,,,"FuelCell Energy, Cenovus","Proposal to install a natural gas fuel cell CO2 capture system on flue gas from the gas-fuelled CHP plant at University of Calgary. Part of a Joint Industry Project led by Cenovus Energy Inc. No news of Calgary project, unclear how it relates to Alberta Innovates fuel cell project at Husky Lloydminster which is also related to Cenovus JIP. (Updated 08/06/18)",,Pilot,FEED study for initial fuel cell unit contracted.,,,,,Yes,Some Canadian support through JIP lead by Cenovus.,,Uni of Calgary,,"Alberta Innovates-Energy Environment Solutions, Devon Canada, Shell Canada",No storage,Onshore,,,,,,,CHP,University of Calgary,New,,,Gas,Gas fuel cell attached to gas-fired CHP plant,,,Other,Carbonate fuel cell,"Fuel cell produces pure CO2 during its cycle, this can be separated, but cell needs CO2 level maintained and this is taken from flue gas.",FuelCell Energy,Unknown,,No,,No,Unclear if transport and storage proposed - unlikley at initial project scale,5/2/2016,CCSDBA,1/23/2021,CCSDBA,"https://www.sciencedirect.com/science/article/pii/S1464285916300499	
Press release (Feb 2016): FuelCell Energy announces carbon capture study with Cenovus Energy	
http://www.fuelcellenergy.com/assets/Tech-Spotlight-Carbon-Capture.pdf	
Fact sheet for Carbon Capture with Carbonate DFC Power Plants	
https://www.fuelcellenergy.com/recovery-2/recovery-2/	
FuelCell Energy webpage: Carbon capture"
1802,Abbott Power Plant Pilot-scale CCS Project,Pilot,Research,"Champaign, Illinois",United States of America,North America,40.105542,-88.242331,0,1,,,"Phase 1 - USD 1.3 million, Phase II expected USD 75 M",,"Five units totalling 47 MW gross, pilot planned at 15MWe.",47,,,University of Illinois,"Proposal for a 300 t/day, 15 MWe pilot plant on the coal-burning boilers at University of Illinois's Abbott Power Plant. Outline proposal for construction of pilot plant was submitted to DoE June 2016. Plant will trial BASF's amine-based capture technology with Linde flue-gas pretreatment process. Nov '17, Phase 1 pre-FEED study complete. May '18, further funding awarded (USD 3.65M) for flue-gas pretreatment trials and working up the Phase 2 project proposal. (Updated 12/06/18)",,Pilot,Proposal for large pilot being worked up.,,,,,Yes,"DoE USD 1 million for Phase 1, plus further grant of USD 3.65M; submission made for USD 58.5 M for Phase 2",,Prairie Research Institute,"Linde, BASF, Burns&McDonnell, Affiliated Eng.Inc.",,No storage,Onshore,,,,,,,CHP for University campus,University of Illinois,Retrofit,,,Coal,Plant uses both coal and gas,,,Post-combustion,Amine-solvent,BASF system,BASF,Unknown,,No,,No,No indication of transport or storage - capture and relase,5/2/2016,CCSDBA,1/23/2021,CCSDBA,http://www.energy.gov/fe/articles/doe-selects-eight-projects-receive-funding-reducing-cost-co2-capture-and-compression
1801,Wyoming Integrated Test Centre,Pilot,Research,"near Gillette, Wyoming",United States of America,North America,44.388218,-105.459616,0,1,,,USD 21 million raised,,Net power capacity 422 MW,484,20 MW equivalent slipstream,,Basin Electric Power Cooperative,"The Integrated Test Centre (ITC) planned for Dry Fork Power Station will provide space for researchers to develop commercially viable uses for carbon dioxide emissions from coal-fired power plants. The project is based on a 20MW equivalent flue-gas sliptream from Basin Electric's Dry Fork coal-burning power station. Tristate G&TA and National Rural ECA are funding USD 5 M and 1 M respectively. The NRG COSIA Carbon XPRIZE is supporting the project and testing of technologies funded under this scheme is expected. A separate but related project at the Carbon Management Institute of the Univerity of Wyoming will assess commercial scale storage in Wyoming with one scenario considering Dry Fork Power Station as a source. This has been funded by USDoE under the CarbonSAFE programme. May '17, test centre opened. Apr '18, Kawasaki Heavy Industries to test equipment at ITC. Dec'18, project awarded Peabody Clean Coal Award. Mar'19, Uni of Kentucky CAER to test equipment at ITC, with US-DoE Large-scale Pilot funding. Apr'19, Wyoming CarbonSAFE Project begins drilling test well and plans seismic survey. (Updated 10/01/20)",http://www.wyomingitc.org/,Pilot,Groundbreaking April 2016,2017,2018,,,Yes,Wyoming State Legislature allocated USD 15 million,,"XPRIZE Foundation, University of Wyoming","Tristate G&T Ass, National Rural Elec Coop Ass",Wyoming Infrastructure Authority is managing pre-commissioning phase of project,No storage,Onshore,,,,,Test centre is capture and release. Wyoming CarbonSAFE project evaluating storage potential in the area but no clear plan yet for storage.,,Research,Basin Electric Power Cooperative,Retrofit,,,Coal,Pulverised coal from Dry Fork mine,,,Post-combustion,Will vary with different trials,,,Unknown,,No,,No,,5/2/2016,CCSDBA,1/23/2021,CCSDBA,https://www.scientificamerican.com/article/carbon-capture-test-facility-opens-in-wyoming/
1781,Norcem Brevik,Demonstration,Industry,Brevik,Norway,Europe,59.061494,9.688472,0.4,1.4,,600,NOK 11.2bn (investment and operating costs for full-chain CCS for five years),,,,,,"Norcem, Heidelberg Cement, Aker Solutions","CO2 capture plant on existing cement plant, aiming to capture 400ktCO2/yr. Once operational, will be the first of its kind globally. Along with the Fortum Oslo Varme (FOV) energy-from-waste (EfW) plant in Oslo, Norcem Brevik is part of Norway’s Longship project (see separate entry) and will receive CO2 transport and storage services under Equinor’s Northern Lights JV project (see separate entry). Following the successful Norcem CO2 Pilot-scale Capture Project (see separate entry), in 2016, the Norwegian Government announced funding for further concept and FEED studies. These were awarded to Aker, AF Consultants, Brevik Engineering and Larvik Shipping, and included capture studies for Norcem Brevik, the Yara ammonia plant in Porsgrunn and the FOV EfW plant in Oslo. In May 2018, the Norwegian government confirmed FEED study funding of NOK 80M for Brevik while suggesting FID may be delayed to 2020/21. Norcem Brevik is a partner in the ACT ALIGN Project, which will produce blueprints for decarbonising 6 industrial regions in Europe. FID announced in 2021, with projected start of 2024.",https://www.norcem.no/en/CCS%20at%20Brevik,In Design,Feasibility study completed July 2016.,2024,,,,Yes,Government funding for concept and FEED studies announced (360 M NOK for three projects). Mar 2017 - ESA approve public finance. Norwegian government announced FID in 2021 as part of Longship.,,,,,Saline Formation,Offshore,"EquinorNorthern Lights JV DA (Equinor, Shell, TotalEnergies)",Norway,,,"Originally planned in Smeaheia, a shallow saline formation, now confirmed as the deeper (3km) Johansen formation south of Troll field.",,Cement,Norcem,Retrofit,,,Unknown,,,,Post-combustion,"Aker Solution's amine technology, as part of a novel 'Carbon Capture Heat Recovery' (CCWHR) process co-developed by Aker Carbon Capture and MAN Energy Solutions that significantly reduces energy demand and start-up time.",Pilot testing was on 'Solvent S26',Aker,Pipe and Ship,"Northern Lights JV DA (Equinor, Shell, TotalEnergies)",Yes,"Part of Longship project, which includes the Fortum Oslo Varme enery-from-waste plant in nearby Oslo.",No,"Ship to Øygarden, pipe to storage; able to receive sources CO2 from other European sources",4/28/2016,CCSDBA,1/12/2022,rsteven2,https://www.regjeringen.no/en/aktuelt/development-of-a-full-scale-ccs-project/id2514804/
1745,Buracica Field EOR Project,Commercial,Upstream,eastern Bahia State,Brazil,South America,-12.662695,-38.320196,0,1,,70,,,,,,,"Petrobras, FAFEN, Oxiteno","CO2-EOR projects have been underway in the Reconcavo Basin (fields: Buracica for certain; Aracas, Faz.Balsamo, Rio Pojuca less certain) since the 1990s (and more recently at Miranga Field, see separate entry). CO2 sources are from by-product gases at the FAFEN ammonia plant (location marked) and the OXITENO ethylene oxide plant, both at the Camacari Petrochemical Complex. A shared compresion station and 10"" pipeline transport CO2 70 km, north to a distribution hub and network supplying the injection sites. Buracica Field has been monitored for CO2 leakage and proportion stored; by 2005 600,000 t of permanent CO2 storage had been achieved. Not clear that other fields have been monitored or achieved permanent storage. (Added 27/05/15)",,Operational,Operating since mid-1990s,,,,,Yes,"Assumed, Petrobras 64% state owned",,,,,EOR with MVR,Onshore,Petrobras,Brazil,,,"Main purpose EOR, storage incidental","See Dino & Le Gallo, Energy Procedia, 1, 1 Feb 2009, pp2005-11. (Linked)","Ammonia, ethylene oxide","FAFEN, OXITENO",Retrofit,,,Gas,Assuming gas feed to SMR for ammonia production.,,,Other,,By-product gases,,Pipe,,Yes,Several other large emitters in area identified as potential additional sources,No,,5/25/2015,CCSDBA,1/23/2021,CCSDBA,"http://decarboni.se/sites/default/files/publications/190903/brazilian-atlas-co2-capture-geological-storage.pdf	
Brazilian Atlas of CO2 Capture and Storage (2015), pp 38, 41.	
http://www.netl.doe.gov/publications/proceedings/07/carbon-seq/data/papers/tue_046.pdf	
Conference presentation (May 2007): Assessing CO2 storage in Buracica oil field (Rocha et al, Pittsburg, 2007)	
http://www.sciencedirect.com/science/article/pii/S1876610209002628	
Conference paper (Feb 2009): Storage monitoring (Dino, Le Gallo, 2009)"
1721,Imperial College Carbon Capture Pilot Plant,Pilot,Research,"South Kensigton Campus, London",United Kingdom,Europe,51.499123,-0.177718,,1,,,GBP 2 million,,,,,,"Imperial College, ABB","Small pilot plant designed for teaching purposes, used for Imperial's CCS/Chem Eng summer schools. Inventory of CO2 (1.2 t) and nitrogen, separated using MEA scrubber, recombined and recycled. Plant controlled using ABB wireless technologies. (Added 25/05/15)",http://www.imperial.ac.uk/engineering/departments/chemical-engineering/discovery/facilities/,Pilot,,,2012,,,Yes,,,,,,No storage,Unknown,,,,,,,Teaching and research,,New,,,Other,,,,Post-combustion,MEA,,,Other,,No,,No,,5/25/2015,CCSDBA,1/23/2021,CCSDBA,http://www3.imperial.ac.uk/newsandeventspggrp/imperialcollege/newssummary/news_18-4-2012-10-8-58
1701,Poza Rica CCS Pilot,Pilot,Power,near Poza Rica de Hidalgo,Mexico,North America,20.52679,-97.491999,0,1,,7,USD 12 million,,,117,2 MW,,"CFE, PEMEX","Proposal to retrofit a 10 t/day pilot post-combustion capture unit to CFE's gas-fuelled (NGCC) power plant near Poza Rica. Likley to be combined with EOR operations by PEMEX in nearby wells. Nominal second, demonstration phase envisaged with refurbished/expanded power plant. May '16, technology assessment for potential full-scale project and pre-feasibility study for pilot plant, sized at 20 t/day, carried out and reported by Nexant. Pilot envisaged as flexible to allow testing of different solvent systems. (Updated 15/06/18)",,Pilot,Design and construction planned for 2018,,,,"Original aspiration (in 2012) for pilot operation by 2015, but delayed",Yes,"Not yet approved, supported by World Bank CCS Trust Fund.",,,CCS Mexican Group,"Group includes CFE, PEMEX, Ministry of Energy, various research institutes and others",EOR with MVR,Onshore,PEMEX,Mexico,20.508595,20.508595,,,Electricity,CFE (Comision Federal de Electricidad),Retrofit,,,Gas,,,,Post-combustion,Amine solvent,,,Unknown,PEMEX,No,,No,,5/21/2015,CCSDBA,1/23/2021,CCSDBA,https://www.iea.org/media/workshops/2012/ccsmexico/6IILacy.pdf
1686,TransAlta Sundance Carbon Capture,Commercial,Power,"Sundance, near Emonton, Alberta",Canada,North America,53.507396,-114.558386,,1,,,,,,1566,,,TransAlta,"Having cancelled nearby Project Pioneer in 2012, TransAlta are again considering life extension of existing coal-burning plant by retrofitting carbon capture. This time Sundance plant mentioned. View expressed that as investments in fracking plateau, there is increasing interest in CO2-EOR which may justify investment in CO2 capture. (Added 14/05/15)",,Speculative,Mentioned by CEO as option under consideration.,,,,,No,Unknown,,,,,EOR,Onshore,,,,,,,Electricity,TransAlta,Retrofit,,,Coal,,,,Unknown,,,,Unknown,,No,,No,,5/14/2015,CCSDBA,1/23/2021,CCSDBA,"http://www.transalta.com/sustainability/ceo-message	TransAlta CEO Message (April 2015)	http://www.huffingtonpost.ca/2015/04/29/power-producer-transalta-_n_7162414.html	Press (April 2015): TransAlta looks at reviving CCS plans									"
1685,Dane County Landfill Carbon Capture Project,Demonstration,Other,"Madison, Wisconsin",United States of America,North America,43.045932,-89.263424,0,1,,,,,,,,,Dane County Executive,Proposal to capture CO2 separated from methane in landfill gas at county landfill site. Claims to be fist such project in United States of America. Methane used for electricity generation on site. (Added 14/05/15),,Speculative,,,,,,Yes,USD 387k funded from county budget,,,,,Unknown,Unknown,,,,,,,Electricity,MGE (Madison Gas and Electric),New,,,Other,,,,Other,,,,Unknown,,No,,No,,5/14/2015,CCSDBA,1/23/2021,CCSDBA,Press release (Jan 2015): Construction of carbon capture technology to begin at Dane County landfill
1684,Hafslund Oslo Celsio - Klemetsrud CCS Project,Demonstration,Other,"Klemetsrud, near Oslo",Norway,Europe,59.841142,10.836137,0.4,1.4,,600,NOK 11.8 bn (GBP 1.1 bn),,"55.4 MW Thermal, 10.5 MW Electric",,,,"Waste-to-Energy Agency of Oslo (EGE), Hafslund Eco, Infranode and HitecVision","CO2 capture plant on Norway’s largest energy-from-waste plant, aiming to capture 400ktCO2/yr. Around 50% of an EfW plants emissions are of biogenic origin, so this project has the potential to remove up to ~200ktCO2/yr that would count as negative emissions. Once operational, this project could be the first of its kind globally. Along with the Norcem Brevik cement plant, Hafslund Oslo Celsio - previously Fortum Oslo Varme (FOV) - is part of Norway’s Longship project (see separate entry) and will receive CO2 transport and storage services under Equinor’s Northern Lights JV project (see separate entry). Following a successful Pilot-scale Capture Project, in 2016, the Norwegian Government announced funding for further concept and FEED studies. These were awarded to Aker, AF Consultants, Brevik Engineering and Larvik Shipping, and included capture studies for FOV, Norcem Brevik and the Yara ammonia plant in Porsgrunn. In May 2018, the Norwegian government confirmed FEED study funding. Successful 9-month pilot project ended in Dec 2019, that captured 3.5tCO2/day using Shell’s Cansolv technology. FID announced in 2021 to proceed with FOV (50% contingent on 'other sources' funding) and Norcem (100% funded) projects. The remaining 50% funding was secured in March 2022. * Previously known as the Fortum Oslo Varme (FOV) CCS Project, the name was changed to Hafslund Oslo Celsio following a change of ownership in May 2022.",https://www.fortum.com/media/2018/11/full-scale-carbon-capture-and-storage-ccs-project-initiated-norway,In Design,"Pilot trials ran early 2016. Feasibility, concept and FEED studies completed 2015-2019",,,,Original intended operational year was 2024; the plant could now be operational around 2026/2027 following the funding announcement in March 2022.,Yes,"Funded by Gassnova, state owned. Mar 2017 - ESA approve public finance. Norwegian government announced FID in 2021 to fund ~50% (NOK 3bn) of FOV as part of Longship, on the condition that the other ~50% (~NOK 3.8bn) come from other sources. FOV announced in March 2022 that the remaining 50% funding had been secured.",,,,"In May 2022, Fortum sold its 50% ownership in the company to a Norwegian investor consortium comprising Hafslund Eco, Infranode and HitecVision for approximately EUR 1 billion. The new consortium coined the new name: Hafslund Oslo Celsio",Saline Formation,Offshore,"EquinorNorthern Lights JV DA (Equinor, Shell, TotalEnergies)",Norway,,,"Originally planned in Smeaheia, a shallow saline formation, now confirmed as the deeper (3km) Johansen formation south of Troll field.",,"District heating & cooling, electricity, waste disposal",Waste-to-Energy Agency of Oslo,Retrofit,,,Other,Municipal waste,,"160,000 t/yr waste input capacity",Post-combustion,Shell's Cansolv CO2 amine-based capture technology,"3-month programme (Aug-Oct 2021) between Shell and Technip to improve the Cansolv CO2 system's process design, efficiency and costs",Technip Energies,Pipe and Ship,"Fortum Oslo Varme and Northern Lights JV DA (Equinor, Shell, TotalEnergies)",Yes,"Part of Longship project, which includes the Fortum Oslo Varme enery-from-waste plant in nearby Oslo.",No,"Fortum Oslo Varme will ship the CO2 to Oslo harbour by ship. Northern Lights will then ship to Øygarden, pipe to storage; able to receive sources CO2 from other European sources",5/14/2015,CCSDBA,7/26/2022,rsteven2,https://www.regjeringen.no/en/aktuelt/good-potential-for-succeeding-with-ccs-in-norway/id2506973/
1661,Gundih CCS Project,Pilot,Upstream,"near Cepu, Central Java",Indonesia,Asia,-7.201098,111.467247,0,1,,40,USD 15-20 million (CAPEX 13.3 million),,,,,,Pertamina,"Proposal to compress and/or liquefy CO2 separated from natural gas processing unit and inject in depleted oil reservoir. Pilot trial aimed at establishing a standard operating procedure that can be rolled out to other gas separations. Trial will capture 30 t/day initially, possibly up to 100 t/day, will use road trucks to transport to Jepon-1 well near Blora City. May 2016, feasibility study completed and discussions on funding implementation phase underway. Agreement signed between Asian Development Bank, Indonesian Government and other stakeholders. ADB considering investment grant with decision expected Q4/2016. (Updated 13/06/16)",http://ccs-gundih.fttm.itb.ac.id/,Pilot,Pilot in planning,2016,,,"Injection trials originally scheduled 2016, now unlikley in 2016.",Yes,Pertamina state owned,,Bandung Institute of Technology (ITB),ITB-Pertamina Consortium,"Consortium includes Kyoto Uni, Asian Development Bank, Norwegian Embassy",Depleted Oil and Gas,Onshore,,Indonesia,,,,,Natural gas,Pertamina EP,Retrofit,,,Gas,Natural gas with 21% CO2 content,,,Other,Amine,,,Other,,No,,No,Truck transport for pilot trial,3/9/2015,CCSDBA,1/23/2021,CCSDBA,http://www.globalccsinstitute.com/insights/authors/FarahMulyasari/2015/04/23/early-public-engagement-indonesia%E2%80%99s-ccs-gundih-pilot-project?author=NDUxMTA4
